artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,duration_ms,song_popularity,popularity,sentiment,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,audio_mode_0.0,audio_mode_1.0,time_signature_1.0,time_signature_3.0,time_signature_4.0,time_signature_5.0
Son Chamchi,0.0644,0.486,0.686,4.89e-06,0.12,-5.615,0.046,164.775,0.257,212727.0,20,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
JINBO,0.0998,0.607,0.559,4.97e-05,0.165,-6.414,0.0396,75.01,0.304,252500.0,21,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
E.SO,0.525,0.739,0.686,1.56e-06,0.162,-4.058,0.0616,90.037,0.507,218627.0,20,0,-0.6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Yeon Kyoo Seong,0.0141,0.582,0.741,0.00416,0.065,-5.805,0.0449,129.92,0.429,165308.0,16,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
SONIC STONES,6.64e-05,0.386,0.958,0.00126,0.124,-3.65,0.0663,155.919,0.817,177953.0,16,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
sweetch,0.503,0.676,0.589,0.0,0.541,-6.206,0.165,90.024,0.368,201691.0,22,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
RIPLEY,0.773,0.671,0.578,5.95e-06,0.165,-5.591,0.0306,120.008,0.381,222000.0,29,0,-0.15000000000000002,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
WOO,0.298,0.532,0.572,0.0,0.193,-5.185,0.03,139.821,0.386,255133.0,17,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Ahn Heesu,0.906,0.791,0.293,3e-06,0.24,-7.549,0.0373,112.002,0.693,215000.0,17,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
MeloMance,0.526,0.636,0.678,0.0,0.146,-3.311,0.0274,92.005,0.713,178000.0,48,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
CIX,0.121,0.515,0.903,0.0,0.406,-2.386,0.0733,99.981,0.481,217880.0,61,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
AB6IX,0.0828,0.639,0.83,0.0,0.121,-2.872,0.0602,144.946,0.689,210401.0,52,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Sojeong,0.0903,0.571,0.867,0.0,0.119,-1.872,0.0303,104.004,0.464,211133.0,26,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
Cha ga eul,0.539,0.426,0.579,0.0,0.302,-3.166,0.0369,203.797,0.446,192200.0,32,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
The Electriceels,0.00155,0.549,0.83,0.0119,0.0918,-5.763,0.0367,191.818,0.919,193880.0,28,0,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Tamiz,0.757,0.898,0.494,4.51e-06,0.0975,-6.943,0.087,82.013,0.942,166080.0,23,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
SOOHYUN,0.156,0.406,0.507,0.0,0.121,-7.36,0.0331,133.046,0.264,225536.0,20,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Kei,0.515,0.43,0.373,0.000105,0.102,-6.572,0.0295,82.829,0.0462,251907.0,39,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
Hwang In Wook,0.187,0.42,0.673,0.0,0.145,-2.953,0.0476,133.69,0.37,208373.0,35,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Eun ga eun,0.744,0.273,0.427,1.08e-05,0.0557,-3.125,0.0299,137.844,0.207,259048.0,16,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Juncoco,0.0204,0.476,0.807,0.0,0.176,-4.856,0.0831,168.178,0.493,216467.0,18,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
kursor,0.631,0.533,0.431,0.0,0.0871,-8.853,0.0355,125.645,0.312,227619.0,16,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
