artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,duration_ms,popularity,sentiment,key_0.0,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0,audio_mode_0.0,audio_mode_1.0,time_signature_3.0,time_signature_4.0,time_signature_5.0
EXID,0.0117,0.739,0.874,0.0,0.0319,-2.333,0.101,127.894,0.787,210077.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
f(x),0.0927,0.757,0.898,7.85e-06,0.493,-1.632,0.0327,125.029,0.537,196947.0,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
K.Will,0.44,0.698,0.694,3.96e-06,0.308,-5.5,0.0321,94.998,0.489,212976.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
9MUSES,0.207,0.537,0.977,0.0,0.178,-0.553,0.136,175.978,0.752,192026.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
T-ARA,0.0704,0.796,0.742,0.0,0.0632,-4.117,0.0631,128.063,0.545,215249.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
BIGBANG,0.0148,0.457,0.764,0.0,0.126,-4.859,0.244,73.911,0.359,236817.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
After School,0.0643,0.714,0.854,0.0,0.074,-3.349,0.0805,130.013,0.647,195933.0,0.0,-0.6999999999999998,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
BTOB,0.004,0.741,0.959,1.23e-05,0.355,-1.414,0.0571,110.016,0.41,217887.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
SISTAR,0.188,0.687,0.857,0.0,0.306,-2.084,0.0753,124.999,0.906,217966.0,0.0,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Spica,0.00912,0.476,0.801,1.12e-05,0.117,-1.904,0.0416,159.747,0.261,251328.0,0.0,0.6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Girls' Generation,0.405,0.717,0.917,1.88e-06,0.151,-1.691,0.0322,129.985,0.961,215280.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
EXO-K,0.000252,0.753,0.808,0.000194,0.0371,-3.264,0.0812,110.856,0.603,209801.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
FIESTAR,0.0348,0.718,0.953,0.0,0.121,-1.831,0.149,120.97,0.377,210521.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
EXID,0.037,0.711,0.852,0.0,0.468,-1.909,0.0574,130.034,0.534,207282.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Girl's Day,0.106,0.623,0.972,0.0,0.328,-0.348,0.0765,133.825,0.633,190433.0,0.0,0.7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Block B,0.0523,0.78,0.956,0.0,0.0675,-3.69,0.0882,114.971,0.921,202606.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
SHINee,0.0069,0.64,0.937,0.0,0.393,-2.112,0.0839,107.013,0.316,239187.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
AILEE,0.262,0.606,0.872,0.0,0.125,-2.114,0.0519,129.965,0.226,232333.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Girls' Generation-TTS,0.257,0.799,0.886,0.0,0.334,-2.592,0.0486,110.004,0.963,206852.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2NE1,0.0242,0.711,0.837,0.0,0.531,-4.277,0.038,125.075,0.563,237138.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
BTOB,0.0116,0.638,0.857,0.0,0.192,-4.607,0.0465,129.901,0.569,217313.0,0.0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Secret,0.427,0.847,0.749,0.0,0.0888,-2.854,0.0843,125.952,0.543,217861.0,0.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
AOA,0.00543,0.68,0.874,0.0,0.0663,-2.186,0.0363,137.099,0.317,213995.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
